year,region,bds_score,fiscal_autonomy_ratio,gdp_2023,cpi,manufacturing_index
2009,강원도,2.7219086585663197,0.28,56534,83.90641666666666,99.24166666666667
2009,서울특별시,7.371027667128116,0.92,508134,83.90641666666666,99.24166666666667
2009,인천광역시,4.611593493946587,0.742,111713,83.90641666666666,99.24166666666667
2009,대전광역시,3.7663184585254115,0.593,50363,83.90641666666666,99.24166666666667
2009,제주특별자치도,2.4497245179063363,0.252,24073,83.90641666666666,99.24166666666667
2009,대구광역시,3.702819070474428,0.547,67890,83.90641666666666,99.24166666666667
2009,전라북도,2.582906795539051,0.236,58845,83.90641666666666,99.24166666666667
2010,경기도,7.251533742331287,0.728,578124,86.37266666666666,115.64166666666668
2010,충청남도,3.460100855258912,0.366,134256,86.37266666666666,115.64166666666668
2010,경상남도,3.6446217872702977,0.429,123721,86.37266666666666,115.64166666666668
2010,광주광역시,3.414328401508253,0.475,48615,86.37266666666666,115.64166666666668
2010,부산광역시,4.097612605993294,0.5760000000000001,103284,86.37266666666666,115.64166666666668
2010,충청북도,3.072745843268199,0.337,83254,86.37266666666666,115.64166666666668
2010,울산광역시,4.326472680921834,0.672,77569,86.37266666666666,115.64166666666668
2010,전라남도,2.5816265109168652,0.206,85319,86.37266666666666,115.64166666666668
2010,경상북도,3.0990920425112467,0.293,119278,86.37266666666666,115.64166666666668
2010,강원도,2.67499853671197,0.271,56534,86.37266666666666,115.64166666666668
2010,서울특별시,7.371027667128116,0.858,508134,86.37266666666666,115.64166666666668
2010,인천광역시,4.634050354802779,0.7040000000000001,111713,86.37266666666666,115.64166666666668
2010,대전광역시,3.761216547051498,0.563,50363,86.37266666666666,115.64166666666668
2010,제주특별자치도,2.460889570552147,0.261,24073,86.37266666666666,115.64166666666668
2010,대구광역시,3.856119362857263,0.563,67890,86.37266666666666,115.64166666666668
2010,전라북도,2.591652929494331,0.246,58845,86.37266666666666,115.64166666666668
2011,경기도,7.110632183908045,0.725,578124,89.85000000000001,123.28333333333336
2011,충청남도,3.3746211641228845,0.354,134256,89.85000000000001,123.28333333333336
2011,경상남도,3.576198368611529,0.426,123721,89.85000000000001,123.28333333333336
2011,광주광역시,3.3455303618777616,0.475,48615,89.85000000000001,123.28333333333336
2011,부산광역시,3.961228535758472,0.564,103284,89.85000000000001,123.28333333333336
2011,충청북도,3.0014797125298873,0.327,83254,89.85000000000001,123.28333333333336
2011,울산광역시,4.2781686120973506,0.691,77569,89.85000000000001,123.28333333333336
2011,전라남도,2.5816265109168652,0.207,85319,89.85000000000001,123.28333333333336
2011,경상북도,3.0313076831571815,0.281,119278,89.85000000000001,123.28333333333336
2011,강원도,2.670018281440832,0.275,56534,89.85000000000001,123.28333333333336
2011,서울특별시,7.371027667128116,0.903,508134,89.85000000000001,123.28333333333336
2011,인천광역시,4.4702308075212045,0.693,111713,89.85000000000001,123.28333333333336
2011,대전광역시,3.703414734767456,0.5720000000000001,50363,89.85000000000001,123.28333333333336
2011,제주특별자치도,2.4080459770114944,0.251,24073,89.85000000000001,123.28333333333336
2011,대구광역시,3.6654152517226466,0.535,67890,89.85000000000001,123.28333333333336
2011,전라북도,2.57477294923906,0.245,58845,89.85000000000001,123.28333333333336
2012,경기도,7.1104651162790695,0.726,578124,91.81508333333332,122.79166666666669
2012,충청남도,3.358958573906365,0.355,134256,91.81508333333332,122.79166666666669
2012,경상남도,3.5853453212979765,0.433,123721,91.81508333333332,122.79166666666669
2012,광주광역시,3.2985843581354466,0.466,48615,91.81508333333332,122.79166666666669
2012,부산광역시,3.9870404844352962,0.574,103284,91.81508333333332,122.79166666666669
2012,충청북도,3.0355615088410337,0.342,83254,91.81508333333332,122.79166666666669
2012,울산광역시,4.349255888226729,0.7120000000000001,77569,91.81508333333332,122.79166666666669
2012,전라남도,2.5816265109168652,0.214,85319,91.81508333333332,122.79166666666669
2012,경상북도,3.0162298296420786,0.283,119278,91.81508333333332,122.79166666666669
2012,강원도,2.625620059040404,0.2689999999999999,56534,91.81508333333332,122.79166666666669
2012,서울특별시,7.371027667128116,0.902,508134,91.81508333333332,122.79166666666669
2012,인천광역시,4.52686673374414,0.71,111713,91.81508333333332,122.79166666666669
2012,대전광역시,3.733194539632465,0.583,50363,91.81508333333332,122.79166666666669
2012,제주특별자치도,2.5079941860465116,0.285,24073,91.81508333333332,122.79166666666669
2012,대구광역시,3.6282427042754395,0.528,67890,91.81508333333332,122.79166666666669
2012,전라북도,2.6054298591561946,0.26,58845,91.81508333333332,122.79166666666669
2013,경기도,7.109165424739194,0.716,578124,93.00991666666664,115.74166666666667
2013,충청남도,3.415730746934584,0.36,134256,93.00991666666664,115.74166666666667
2013,경상남도,3.5719193708887476,0.417,123721,93.00991666666664,115.74166666666667
2013,광주광역시,3.3092485733924515,0.4539999999999999,48615,93.00991666666664,115.74166666666667
2013,부산광역시,4.018074661231149,0.5660000000000001,103284,93.00991666666664,115.74166666666667
2013,세종특별자치시,2.8871087928464974,0.3879999999999999,15567,93.00991666666664,115.74166666666667
2013,충청북도,3.076683557765103,0.342,83254,93.00991666666664,115.74166666666667
2013,울산광역시,4.40627721110252,0.7070000000000001,77569,93.00991666666664,115.74166666666667
2013,전라남도,2.6219729734053616,0.217,85319,93.00991666666664,115.74166666666667
2013,경상북도,3.0377935810800585,0.28,119278,93.00991666666664,115.74166666666667
2013,강원도,2.6510318668234865,0.266,56534,93.00991666666664,115.74166666666667
2013,서울특별시,7.37675782187405,0.888,508134,93.00991666666664,115.74166666666667
2013,인천광역시,4.461683491284011,0.6729999999999999,111713,93.00991666666664,115.74166666666667
2013,대전광역시,3.7693899675890963,0.575,50363,93.00991666666664,115.74166666666667
2013,제주특별자치도,2.626955371651997,0.306,24073,93.00991666666664,115.74166666666667
2013,대구광역시,3.6504882318969223,0.518,67890,93.00991666666664,115.74166666666667
2013,전라북도,2.6298239095874947,0.257,58845,93.00991666666664,115.74166666666667
2014,경기도,6.9992012779552715,0.612,578124,94.19558333333332,113.16666666666669
2014,충청남도,3.3941259703148803,0.302,134256,94.19558333333332,113.16666666666669
2014,경상남도,3.5695743896247905,0.36,123721,94.19558333333332,113.16666666666669
2014,광주광역시,3.4046726459940233,0.419,48615,94.19558333333332,113.16666666666669
2014,부산광역시,4.075604074676344,0.514,103284,94.19558333333332,113.16666666666669
2014,세종특별자치시,3.456070287539936,0.476,15567,94.19558333333332,113.16666666666669
2014,충청북도,2.9783728965518073,0.266,83254,94.19558333333332,113.16666666666669
2014,울산광역시,4.337832326494643,0.614,77569,94.19558333333332,113.16666666666669
2014,전라남도,2.6219729734053616,0.174,85319,94.19558333333332,113.16666666666669
2014,경상북도,3.014730630831752,0.2269999999999999,119278,94.19558333333332,113.16666666666669
2014,강원도,2.6601618192572674,0.222,56534,94.19558333333332,113.16666666666669
2014,서울특별시,7.37675782187405,0.8,508134,94.19558333333332,113.16666666666669
2014,인천광역시,4.567838531446279,0.626,111713,94.19558333333332,113.16666666666669
2014,대전광역시,3.713515134832684,0.494,50363,94.19558333333332,113.16666666666669
2014,제주특별자치도,2.8025492351812287,0.301,24073,94.19558333333332,113.16666666666669
2014,대구광역시,3.675193859375817,0.461,67890,94.19558333333332,113.16666666666669
2014,전라북도,2.6964475650918915,0.228,58845,94.19558333333332,113.16666666666669
2015,경기도,6.966,0.607,578124,94.86091666666664,106.26666666666668
2015,충청남도,3.3869438616886822,0.304,134256,94.86091666666664,106.26666666666668
2015,경상남도,3.610762888027347,0.374,123721,94.86091666666664,106.26666666666668
2015,광주광역시,3.482238141201692,0.442,48615,94.86091666666664,106.26666666666668
2015,부산광역시,4.045776598638005,0.51,103284,94.86091666666664,106.26666666666668
2015,세종특별자치시,3.298,0.44,15567,94.86091666666664,106.26666666666668
2015,충청북도,3.0229607559767278,0.281,83254,94.86091666666664,106.26666666666668
2015,울산광역시,4.4126438280920866,0.636,77569,94.86091666666664,106.26666666666668
2015,전라남도,2.6219729734053616,0.178,85319,94.86091666666664,106.26666666666668
2015,경상북도,3.063069288978717,0.243,119278,94.86091666666664,106.26666666666668
2015,강원도,2.616468528522443,0.215,56534,94.86091666666664,106.26666666666668
2015,서울특별시,7.37675782187405,0.8029999999999999,508134,94.86091666666664,106.26666666666668
2015,인천광역시,4.414726710360017,0.591,111713,94.86091666666664,106.26666666666668
2015,대전광역시,3.6955598632671895,0.493,50363,94.86091666666664,106.26666666666668
2015,제주특별자치도,2.7953607367786732,0.303,24073,94.86091666666664,106.26666666666668
2015,대구광역시,3.693027725190514,0.469,67890,94.86091666666664,106.26666666666668
2015,전라북도,2.6527926130152144,0.221,58845,94.86091666666664,106.26666666666668
2016,경기도,6.972312703583061,0.616,578124,95.78266666666669,103.75833333333333
