id,stat_code,item_code,item_name,unit,cycle_type,created_at
387,111Y002,,예금취급기관,,A,2025-08-25 01:13:00
388,111Y002,,예금취급기관,,M,2025-08-25 01:13:00
389,111Y002,,예금취급기관,,Q,2025-08-25 01:13:00
390,111Y002,,현금통화,,A,2025-08-25 01:13:00
391,111Y002,,현금통화,,M,2025-08-25 01:13:00
392,111Y002,,현금통화,,Q,2025-08-25 01:13:00
393,111Y002,,요구불예금,,A,2025-08-25 01:13:00
394,111Y002,,요구불예금,,M,2025-08-25 01:13:00
395,111Y002,,요구불예금,,Q,2025-08-25 01:13:00
396,111Y002,,수시입출식저축성,,A,2025-08-25 01:13:00
397,111Y002,,수시입출식저축성,,M,2025-08-25 01:13:00
398,111Y002,,수시입출식저축성,,Q,2025-08-25 01:13:00
399,111Y002,,정기예적금,,A,2025-08-25 01:13:00
400,111Y002,,정기예적금,,M,2025-08-25 01:13:00
401,111Y002,,정기예적금,,Q,2025-08-25 01:13:00
402,111Y002,,양도성예금증서,,A,2025-08-25 01:13:00
403,111Y002,,양도성예금증서,,M,2025-08-25 01:13:00
404,111Y002,,양도성예금증서,,Q,2025-08-25 01:13:00
405,111Y002,,수익증권,,A,2025-08-25 01:13:00
406,111Y002,,수익증권,,M,2025-08-25 01:13:00
407,111Y002,,수익증권,,Q,2025-08-25 01:13:00
408,111Y002,,환매조건부채권,,A,2025-08-25 01:13:00
409,111Y002,,환매조건부채권,,M,2025-08-25 01:13:00
410,111Y002,,환매조건부채권,,Q,2025-08-25 01:13:00
411,111Y002,,금융채 1),,A,2025-08-25 01:13:00
412,111Y002,,금융채 1),,M,2025-08-25 01:13:00
413,111Y002,,금융채 1),,Q,2025-08-25 01:13:00
414,111Y002,,금전신탁 등 2),,A,2025-08-25 01:13:00
415,111Y002,,금전신탁 등 2),,M,2025-08-25 01:13:00
416,111Y002,,금전신탁 등 2),,Q,2025-08-25 01:13:00
417,111Y002,,보험계약준비금,,A,2025-08-25 01:13:00
