region,year,bds_value,gdp_value,data_source,scenario,base_rate,exchange_rate,cpi,gdp_growth,koribor,gov_bond_3y,corp_bond_3y,bds_score,economic_stress,financial_stability,growth_potential
부산광역시,2010,3.5722379854781563,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,35.722379854781565,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2011,4.966439429508255,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,49.66439429508255,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2012,4.982255041853634,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,49.82255041853634,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2013,5.822157245401391,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,58.22157245401391,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2014,4.397683049460605,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,43.97683049460605,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2015,1.219941430260377,94037.092,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,12.19941430260377,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2016,0.7213020635263336,96661.499,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,7.213020635263336,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2017,1.1074093949337716,96123.064,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,11.074093949337716,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2018,1.1322506936215058,99017.683,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,11.322506936215058,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2019,0.7404653602621677,101231.135,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,7.404653602621677,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2020,1.518128988355446,98225.367,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,15.181289883554461,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2021,0.5412289453830462,100759.135,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,5.4122894538304624,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2022,0.8496045854686137,102497.862,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,8.496045854686137,72.08333333333333,81.66666666666667,64.16666666666667
