id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
259,101Y008,,기타예금취급기관,,Q,기타예금취급기관,2025-08-25 01:14:49
260,101Y008,,예금은행,,A,예금은행,2025-08-25 01:14:49
261,101Y008,,예금은행,,M,예금은행,2025-08-25 01:14:49
262,101Y008,,예금은행,,Q,예금은행,2025-08-25 01:14:49
263,101Y008,,종합금융,,A,종합금융,2025-08-25 01:14:49
264,101Y008,,종합금융,,M,종합금융,2025-08-25 01:14:49
265,101Y008,,종합금융,,Q,종합금융,2025-08-25 01:14:49
266,101Y008,,자산운용회사,,A,자산운용회사,2025-08-25 01:14:49
267,101Y008,,자산운용회사,,M,자산운용회사,2025-08-25 01:14:49
268,101Y008,,자산운용회사,,Q,자산운용회사,2025-08-25 01:14:49
269,101Y008,,신탁회사,,A,신탁회사,2025-08-25 01:14:49
270,101Y008,,신탁회사,,M,신탁회사,2025-08-25 01:14:49
271,101Y008,,신탁회사,,Q,신탁회사,2025-08-25 01:14:49
272,101Y008,,상호저축은행,,A,상호저축은행,2025-08-25 01:14:49
273,101Y008,,상호저축은행,,M,상호저축은행,2025-08-25 01:14:49
274,101Y008,,상호저축은행,,Q,상호저축은행,2025-08-25 01:14:49
275,101Y008,,신용협동조합,,A,신용협동조합,2025-08-25 01:14:49
276,101Y008,,신용협동조합,,M,신용협동조합,2025-08-25 01:14:49
277,101Y008,,신용협동조합,,Q,신용협동조합,2025-08-25 01:14:49
278,101Y008,,상호금융,,A,상호금융,2025-08-25 01:14:49
279,101Y008,,상호금융,,M,상호금융,2025-08-25 01:14:49
280,101Y008,,상호금융,,Q,상호금융,2025-08-25 01:14:49
281,101Y008,,새마을금고,,A,새마을금고,2025-08-25 01:14:49
282,101Y008,,새마을금고,,M,새마을금고,2025-08-25 01:14:49
283,101Y008,,새마을금고,,Q,새마을금고,2025-08-25 01:14:49
284,101Y008,,우체국예금,,A,우체국예금,2025-08-25 01:14:49
285,101Y008,,우체국예금,,M,우체국예금,2025-08-25 01:14:49
286,101Y008,,우체국예금,,Q,우체국예금,2025-08-25 01:14:49
