year,region,fiscal_autonomy_ratio,fiscal_independence_ratio,source
2024,서울특별시,0.74,0.754,KOSIS
2024,충청북도,0.304,0.637,KOSIS
2024,전국,0.433,0.657,KOSIS
2024,경상북도,0.24600000000000002,0.662,KOSIS
2024,광주광역시,0.40700000000000003,0.607,KOSIS
2024,충청남도,0.324,0.654,KOSIS
2024,대전광역시,0.41700000000000004,0.604,KOSIS
2024,경기도,0.551,0.632,KOSIS
2025,울산광역시,0.461,0.662,KOSIS
2025,대구광역시,0.419,0.6,KOSIS
2025,강원도,0.257,0.706,KOSIS
2025,세종특별자치시,0.5429999999999999,0.623,KOSIS
2025,전라북도,0.23600000000000002,0.619,KOSIS
2025,제주특별자치도,0.331,0.644,KOSIS
2025,전라남도,0.237,0.648,KOSIS
2025,경상남도,0.34299999999999997,0.6579999999999999,KOSIS
2025,인천광역시,0.49200000000000005,0.603,KOSIS
2025,부산광역시,0.42700000000000005,0.555,KOSIS
2025,서울특별시,0.736,0.747,KOSIS
2025,충청북도,0.318,0.6459999999999999,KOSIS
2025,전국,0.43200000000000005,0.649,KOSIS
2025,경상북도,0.243,0.6559999999999999,KOSIS
2025,광주광역시,0.39799999999999996,0.583,KOSIS
2025,충청남도,0.322,0.637,KOSIS
2025,대전광역시,0.41100000000000003,0.598,KOSIS
2025,경기도,0.557,0.632,KOSIS
